ca	Catalan	ES	0:01:19.581934	done	2020-07-10 09:55:12.097843
aa	Afar	ET	0:00:00.588141	done	2020-07-10 10:13:39.699732
aa	Afar	DJ	0:00:00.710182	done	2020-07-10 10:17:20.615442
aa	Afar	ET	0:00:00.596138	done	2020-07-10 10:17:21.224471
aa	Afar	ER	0:00:00.584532	done	2020-07-10 10:17:21.812126
aa	Afar		0:00:00.586487	done	2020-07-10 10:17:22.401381
aa	Afar	ER	0:00:00.609955	done	2020-07-10 10:29:47.329583
aa	Afar	ET	0:00:00.659957	done	2020-07-10 10:29:47.992158
aa	Afar	DJ	0:00:00.613881	done	2020-07-10 10:29:48.608517
aa	Afar		0:00:00.619518	done	2020-07-10 10:29:49.230553
ab	Abkhaz	GE	0:00:01.786589	done	2020-07-10 10:29:51.048406
ab	Abkhaz		0:00:01.884233	done	2020-07-10 10:29:52.935229
ace	Acehnese	ID	0:00:14.590434	done	2020-07-10 10:30:07.599174
ace	Acehnese		0:00:15.194354	done	2020-07-10 10:30:22.796635
ady	Adyghe	RU	0:00:01.642794	done	2020-07-10 10:30:24.463000
ady	Adyghe		0:00:01.736579	done	2020-07-10 10:30:26.202134
af	Afrikaans	ZA	0:00:29.474435	done	2020-07-10 10:30:56.179779
af	Afrikaans	BW	0:00:04.857373	done	2020-07-10 10:31:01.040440
af	Afrikaans		0:00:30.309845	done	2020-07-10 10:31:31.352455
ak	Akan language	GH	0:00:03.267071	done	2020-07-10 10:31:34.665854
ak	Akan language		0:00:03.377589	done	2020-07-10 10:31:38.045850
als	Alemannic	FR	0:00:09.982202	done	2020-07-10 10:31:48.196068
als	Alemannic	LI	0:00:02.459999	done	2020-07-10 10:31:50.658263
als	Alemannic	DE	0:00:11.228622	done	2020-07-10 10:32:01.889248
als	Alemannic	AT	0:00:03.966708	done	2020-07-10 10:32:05.858287
als	Alemannic	CH	0:00:18.084268	done	2020-07-10 10:32:23.945020
als	Alemannic		0:00:21.414554	done	2020-07-10 10:32:45.362022
am	Amharic	ET	0:00:02.249677	done	2020-07-10 10:32:47.670240
am	Amharic		0:00:04.114954	done	2020-07-10 10:32:51.787593
an	Aragonese	ES	0:00:15.545464	done	2020-07-10 10:33:07.468826
an	Aragonese		0:00:18.304803	done	2020-07-10 10:33:25.775879
ang	Old English	GB	0:00:02.975974	done	2020-07-10 10:33:28.786435
ang	Old English		0:00:03.423365	done	2020-07-10 10:33:32.211826
ar	Arabic	KM	0:00:33.866104	done	2020-07-10 10:34:10.266059
ar	Arabic	SY	0:00:57.101303	done	2020-07-10 10:35:07.370752
ar	Arabic	SS	0:00:32.731432	done	2020-07-10 10:35:40.104895
ar	Arabic	IL	0:00:48.262861	done	2020-07-10 10:36:28.370525
ar	Arabic	PS	0:00:41.577495	done	2020-07-10 10:37:09.950424
ar	Arabic	OM	0:00:42.733042	done	2020-07-10 10:37:52.686025
ar	Arabic	EG	0:01:06.704870	done	2020-07-10 10:38:59.393154
aa	Afar	ET	0:00:00.603389	done	2020-07-10 10:44:43.529572
aa	Afar	DJ	0:00:00.586168	done	2020-07-10 10:44:44.117805
aa	Afar	ER	0:00:00.585971	done	2020-07-10 10:44:44.705723
aa	Afar		0:00:00.577084	done	2020-07-10 10:44:45.284832
ab	Abkhaz	GE	0:00:01.356916	done	2020-07-10 10:44:46.668450
ab	Abkhaz		0:00:01.449563	done	2020-07-10 10:44:48.120876
ace	Acehnese	ID	0:00:07.371620	done	2020-07-10 10:44:55.530559
ace	Acehnese		0:00:07.977801	done	2020-07-10 10:45:03.510749
ady	Adyghe	RU	0:00:01.455986	done	2020-07-10 10:45:04.989757
ady	Adyghe		0:00:01.513817	done	2020-07-10 10:45:06.505947
af	Afrikaans	ZA	0:00:21.675738	done	2020-07-10 10:45:28.390456
af	Afrikaans	BW	0:00:03.633044	done	2020-07-10 10:45:32.025393
af	Afrikaans		0:00:23.182752	done	2020-07-10 10:45:55.210261
ak	Akan language	GH	0:00:02.033952	done	2020-07-10 10:45:57.289068
ak	Akan language		0:00:01.971046	done	2020-07-10 10:45:59.262720
als	Alemannic	LI	0:00:02.367159	done	2020-07-10 10:46:01.704623
als	Alemannic	DE	0:00:05.196378	done	2020-07-10 10:46:06.903573
als	Alemannic	AT	0:00:02.788725	done	2020-07-10 10:46:09.694516
als	Alemannic	CH	0:00:09.491871	done	2020-07-10 10:46:19.188995
als	Alemannic	FR	0:00:04.222653	done	2020-07-10 10:46:23.413589
als	Alemannic		0:00:13.584925	done	2020-07-10 10:46:37.000866
am	Amharic	ET	0:00:01.720925	done	2020-07-10 10:46:38.772244
am	Amharic		0:00:02.261472	done	2020-07-10 10:46:41.036070
an	Aragonese	ES	0:00:08.924299	done	2020-07-10 10:46:50.045562
an	Aragonese		0:00:10.460256	done	2020-07-10 10:47:00.509129
ang	Old English	GB	0:00:01.933520	done	2020-07-10 10:47:02.471501
ang	Old English		0:00:01.958583	done	2020-07-10 10:47:04.432242
ar	Arabic	UZ	0:00:30.064842	done	2020-07-10 10:47:37.075251
ar	Arabic	LB	0:00:42.338046	done	2020-07-10 10:48:19.416643
ar	Arabic	TR	0:00:32.335713	done	2020-07-10 10:48:51.755577
ar	Arabic	IR	0:00:37.391517	done	2020-07-10 10:49:29.149380
ar	Arabic	SA	0:00:51.670352	done	2020-07-10 10:50:20.822767
ar	Arabic	MR	0:00:34.226725	done	2020-07-10 10:50:55.052036
ar	Arabic	NE	0:00:27.313203	done	2020-07-10 10:51:22.367681
ar	Arabic	LY	0:00:43.882676	done	2020-07-10 10:52:06.253213
ar	Arabic	BH	0:00:42.612505	done	2020-07-10 10:52:48.869084
ar	Arabic	PS	0:00:41.527334	done	2020-07-10 10:53:30.399322
ar	Arabic	IL	0:00:43.070411	done	2020-07-10 10:54:13.472106
ar	Arabic	JO	0:00:43.458083	done	2020-07-10 10:54:56.933464
ar	Arabic	KM	0:00:35.419465	done	2020-07-10 10:55:32.355844
ar	Arabic	EH	0:00:27.731879	done	2020-07-10 10:56:00.091012
ar	Arabic	QA	0:00:37.324914	done	2020-07-10 10:56:37.418211
ar	Arabic	EG	0:00:57.889973	done	2020-07-10 10:57:35.310862
ar	Arabic	SO	0:00:31.950066	done	2020-07-10 10:58:07.263355
ar	Arabic	SD	0:00:41.882802	done	2020-07-10 10:58:49.148397
ar	Arabic	DZ	0:00:52.139896	done	2020-07-10 10:59:41.290834
ar	Arabic	TD	0:00:34.291284	done	2020-07-10 11:00:15.585277
ar	Arabic	YE	0:01:21.374644	done	2020-07-10 11:01:36.962629
ar	Arabic	SY	0:00:53.365529	done	2020-07-10 11:02:30.330946
ar	Arabic	KW	0:00:43.534693	done	2020-07-10 11:03:13.868299
ar	Arabic	AE	0:00:41.893629	done	2020-07-10 11:03:55.764285
ar	Arabic	OM	0:00:44.495242	done	2020-07-10 11:04:40.262209
ar	Arabic	SS	0:00:34.468853	done	2020-07-10 11:05:14.733955
ar	Arabic	MA	0:01:24.248996	done	2020-07-10 11:06:38.985269
ar	Arabic	TN	0:00:41.335256	done	2020-07-10 11:07:20.324224
ar	Arabic	DJ	0:00:33.128917	done	2020-07-10 11:07:53.455564
ar	Arabic	ER	0:00:33.675675	done	2020-07-10 11:08:27.133876
ar	Arabic	CY	0:00:31.052528	done	2020-07-10 11:08:58.189041
ar	Arabic	IQ	0:00:47.905018	done	2020-07-10 11:09:46.096419
ar	Arabic		0:05:27.608925	done	2020-07-10 11:15:13.707637
arc	Aramaic	IL	0:00:01.515929	done	2020-07-10 11:15:15.547985
arc	Aramaic	IQ	0:00:01.225078	done	2020-07-10 11:15:16.775053
arc	Aramaic		0:00:01.530509	done	2020-07-10 11:15:18.307608
arz	Egyptian Arabic	EG	0:00:34.765629	done	2020-07-10 11:15:56.459827
arz	Egyptian Arabic		0:00:35.448275	done	2020-07-10 11:16:31.911316
as	Assamese	IN	0:00:03.514693	done	2020-07-10 11:16:35.650331
as	Assamese		0:00:04.266052	done	2020-07-10 11:16:39.918992
ast	Asturian	ES	0:00:08.644953	done	2020-07-10 11:16:49.051300
ast	Asturian		0:00:08.726315	done	2020-07-10 11:16:57.780944
atj	Atikamekw	CA	0:00:01.626954	done	2020-07-10 11:16:59.454123
