page_title,page_id,rc_timestamp,Bytes,actor_name,Editor Edit Type,qitem,iso3166,iso31662,region,gender,ethnic_group,sexual_orientation,ccc_binary,num_editors,num_pageviews,date_created,num_inlinks,num_outlinks,num_inlinks_from_CCC,num_outlinks_to_CCC,num_inlinks_from_women,num_outlinks_to_women,num_references,num_discussions,num_bytes,num_wdproperty,num_interwiki,num_images,wikirank
El_último_tour_del_mundo,65930911,20201124224352,20.0,Lk95,editor,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan_station,13932817,20201124224351,4707.0,Ceres C4,editor,Q6749220,US,US-IL,Americas,,,,1.0,35.0,12.0,20071027012028.0,25.0,19.0,20.0,12.0,0.0,0.0,6.0,10.0,4060.0,6.0,0.0,1.0,17.741
Manhattan_station,13932817,20201124224351,4707.0,AleatoryPonderings,editor,Q6749220,US,US-IL,Americas,,,,1.0,35.0,12.0,20071027012028.0,25.0,19.0,20.0,12.0,0.0,0.0,6.0,10.0,4060.0,6.0,0.0,1.0,17.741
Manhattan_station,13932817,20201124224351,4707.0,Maw5977,editor,Q6749220,US,US-IL,Americas,,,,1.0,35.0,12.0,20071027012028.0,25.0,19.0,20.0,12.0,0.0,0.0,6.0,10.0,4060.0,6.0,0.0,1.0,17.741
Allied_Electronics,3492976,20201124224351,7144.0,Ceres C4,editor,Q4732592,,,,,,,0.0,62.0,71.0,20051221193825.0,15.0,33.0,8.0,10.0,0.0,0.0,14.0,8.0,6301.0,4.0,0.0,1.0,30.75
Allied_Electronics,3492976,20201124224351,7144.0,AleatoryPonderings,editor,Q4732592,,,,,,,0.0,62.0,71.0,20051221193825.0,15.0,33.0,8.0,10.0,0.0,0.0,14.0,8.0,6301.0,4.0,0.0,1.0,30.75
Allied_Electronics,3492976,20201124224351,7144.0,Maw5977,editor,Q4732592,,,,,,,0.0,62.0,71.0,20051221193825.0,15.0,33.0,8.0,10.0,0.0,0.0,14.0,8.0,6301.0,4.0,0.0,1.0,30.75
Julian_Borger,51529252,20201124224351,2748.0,Ceres C4,editor,Q21497844,,,,Q6581097,,,1.0,12.0,19.0,20160906140132.0,39.0,15.0,12.0,5.0,0.0,0.0,13.0,4.0,2744.0,20.0,1.0,1.0,23.942
Julian_Borger,51529252,20201124224351,2748.0,AleatoryPonderings,editor,Q21497844,,,,Q6581097,,,1.0,12.0,19.0,20160906140132.0,39.0,15.0,12.0,5.0,0.0,0.0,13.0,4.0,2744.0,20.0,1.0,1.0,23.942
Julian_Borger,51529252,20201124224351,2748.0,Maw5977,editor,Q21497844,,,,Q6581097,,,1.0,12.0,19.0,20160906140132.0,39.0,15.0,12.0,5.0,0.0,0.0,13.0,4.0,2744.0,20.0,1.0,1.0,23.942
Edith_Roosevelt,415586,20201124224350,30912.0,2605:8D80:627:F771:D9A0:C290:35C6:6421,editor,Q237590,,,,Q6581072,,Q1035954,1.0,206.0,1123.0,20031230063143.0,309.0,317.0,239.0,243.0,97.0,90.0,42.0,11.0,30856.0,52.0,38.0,1.0,87.744
Movement_for_a_Socialist_Alternative_(Nigeria),65625922,20201124224349,6674.0,Bohemian Baltimore,editor,,,,,,,,,,,,,,,,,,,,6043.0,,,,
Movement_for_a_Socialist_Alternative_(Nigeria),65625922,20201124224349,6674.0,SteveMc25,editor,,,,,,,,,,,,,,,,,,,,6043.0,,,,
Movement_for_a_Socialist_Alternative_(Nigeria),65625922,20201124224349,6674.0,Georgina Hutchison,editor,,,,,,,,,,,,,,,,,,,,6043.0,,,,
FC_Dynamo_Kyiv_in_European_football,22602647,20201124224349,63520.0,Bohemian Baltimore,editor,Q10979770,,,,,,,,32.0,96.0,20090428111115.0,36.0,293.0,0.0,21.0,0.0,0.0,1.0,1.0,63497.0,3.0,5.0,,49.55
FC_Dynamo_Kyiv_in_European_football,22602647,20201124224349,63520.0,SteveMc25,editor,Q10979770,,,,,,,,32.0,96.0,20090428111115.0,36.0,293.0,0.0,21.0,0.0,0.0,1.0,1.0,63497.0,3.0,5.0,,49.55
FC_Dynamo_Kyiv_in_European_football,22602647,20201124224349,63520.0,Georgina Hutchison,editor,Q10979770,,,,,,,,32.0,96.0,20090428111115.0,36.0,293.0,0.0,21.0,0.0,0.0,1.0,1.0,63497.0,3.0,5.0,,49.55
John_E._Hodge,9351041,20201124224348,10919.0,Iambeqakacheishvili,bot,Q6230781,,,,Q6581097,,,1.0,40.0,12.0,20070206191221.0,8.0,35.0,1.0,8.0,0.0,0.0,30.0,11.0,10919.0,18.0,2.0,,8.59
John_E._Hodge,9351041,20201124224348,10919.0,WikiCleanerBot,bot,Q6230781,,,,Q6581097,,,1.0,40.0,12.0,20070206191221.0,8.0,35.0,1.0,8.0,0.0,0.0,30.0,11.0,10919.0,18.0,2.0,,8.59
John_E._Hodge,9351041,20201124224348,10919.0,Jroberson108,bot,Q6230781,,,,Q6581097,,,1.0,40.0,12.0,20070206191221.0,8.0,35.0,1.0,8.0,0.0,0.0,30.0,11.0,10919.0,18.0,2.0,,8.59
Yuga_Cycle,63758049,20201124224348,58999.0,Iambeqakacheishvili,editor,Q97358542,,,,,,,1.0,13.0,1510.0,20200424162122.0,32.0,496.0,2.0,130.0,0.0,2.0,43.0,0.0,57873.0,0.0,0.0,,
Yuga_Cycle,63758049,20201124224348,58999.0,WikiCleanerBot,editor,Q97358542,,,,,,,1.0,13.0,1510.0,20200424162122.0,32.0,496.0,2.0,130.0,0.0,2.0,43.0,0.0,57873.0,0.0,0.0,,
Yuga_Cycle,63758049,20201124224348,58999.0,Jroberson108,editor,Q97358542,,,,,,,1.0,13.0,1510.0,20200424162122.0,32.0,496.0,2.0,130.0,0.0,2.0,43.0,0.0,57873.0,0.0,0.0,,
Skegness,351114,20201124224347,181836.0,Berlin-George,editor,Q977991,GB,GB-ENG,Europe,,,,0.0,359.0,1635.0,20031027195319.0,1234.0,822.0,1097.0,484.0,8.0,5.0,408.0,34.0,174612.0,31.0,22.0,1.0,79.103
Skegness,351114,20201124224347,181836.0,ScottyScotman1994,editor,Q977991,GB,GB-ENG,Europe,,,,0.0,359.0,1635.0,20031027195319.0,1234.0,822.0,1097.0,484.0,8.0,5.0,408.0,34.0,174612.0,31.0,22.0,1.0,79.103
New_Zealand_Interprovincial_Exhibition,65930909,20201124224347,751.0,Berlin-George,editor,,,,,,,,,,,,,,,,,,,,,,,,
New_Zealand_Interprovincial_Exhibition,65930909,20201124224347,751.0,ScottyScotman1994,editor,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy_Toljan,40749745,20201124224345,12914.0,83.33.188.117,editor,Q3177357,,,,Q6581097,,,0.0,63.0,482.0,20131009142909.0,100.0,103.0,4.0,9.0,0.0,0.0,17.0,9.0,12865.0,29.0,25.0,,28.17
Jeremy_Toljan,40749745,20201124224345,12914.0,Reports bot,editor,Q3177357,,,,Q6581097,,,0.0,63.0,482.0,20131009142909.0,100.0,103.0,4.0,9.0,0.0,0.0,17.0,9.0,12865.0,29.0,25.0,,28.17
Jeremy_Toljan,40749745,20201124224345,12914.0,Pjesnik21,editor,Q3177357,,,,Q6581097,,,0.0,63.0,482.0,20131009142909.0,100.0,103.0,4.0,9.0,0.0,0.0,17.0,9.0,12865.0,29.0,25.0,,28.17
Jeremy_Toljan,40749745,20201124224345,12914.0,Gazelle55,editor,Q3177357,,,,Q6581097,,,0.0,63.0,482.0,20131009142909.0,100.0,103.0,4.0,9.0,0.0,0.0,17.0,9.0,12865.0,29.0,25.0,,28.17
Álava,68199,20201124224345,14637.0,83.33.188.117,editor,Q81801,ES,ES-PV,Europe,,,,0.0,174.0,289.0,20020806044127.0,857.0,167.0,5.0,3.0,13.0,0.0,11.0,23.0,14518.0,55.0,73.0,2.0,39.448
Álava,68199,20201124224345,14637.0,Reports bot,editor,Q81801,ES,ES-PV,Europe,,,,0.0,174.0,289.0,20020806044127.0,857.0,167.0,5.0,3.0,13.0,0.0,11.0,23.0,14518.0,55.0,73.0,2.0,39.448
Álava,68199,20201124224345,14637.0,Pjesnik21,editor,Q81801,ES,ES-PV,Europe,,,,0.0,174.0,289.0,20020806044127.0,857.0,167.0,5.0,3.0,13.0,0.0,11.0,23.0,14518.0,55.0,73.0,2.0,39.448
Álava,68199,20201124224345,14637.0,Gazelle55,editor,Q81801,ES,ES-PV,Europe,,,,0.0,174.0,289.0,20020806044127.0,857.0,167.0,5.0,3.0,13.0,0.0,11.0,23.0,14518.0,55.0,73.0,2.0,39.448
Furious_7,39238465,20201124224344,111766.0,ClueBot III,editor,Q14650496,,,,,,,0.0,691.0,13577.0,20130428015028.0,418.0,382.0,233.0,254.0,21.0,11.0,220.0,186.0,112776.0,123.0,50.0,1.0,86.153
Furious_7,39238465,20201124224344,111766.0,DrVogel,editor,Q14650496,,,,,,,0.0,691.0,13577.0,20130428015028.0,418.0,382.0,233.0,254.0,21.0,11.0,220.0,186.0,112776.0,123.0,50.0,1.0,86.153
Furious_7,39238465,20201124224344,111766.0,Chompy Ace,editor,Q14650496,,,,,,,0.0,691.0,13577.0,20130428015028.0,418.0,382.0,233.0,254.0,21.0,11.0,220.0,186.0,112776.0,123.0,50.0,1.0,86.153
List_of_programs_broadcast_by_Colors,18531972,20201124224343,33469.0,ClueBot III,editor,Q6635186,,,,,,,,295.0,4990.0,20080721221425.0,557.0,586.0,171.0,142.0,2.0,0.0,84.0,5.0,32973.0,2.0,2.0,,57.171
List_of_programs_broadcast_by_Colors,18531972,20201124224343,33469.0,ClueBot III,editor,Q6635186,,,,,,,,295.0,4990.0,20080721221425.0,557.0,586.0,171.0,142.0,2.0,0.0,84.0,5.0,32973.0,2.0,2.0,,57.171
List_of_programs_broadcast_by_Colors,18531972,20201124224343,33469.0,Tom.Reding,editor,Q6635186,,,,,,,,295.0,4990.0,20080721221425.0,557.0,586.0,171.0,142.0,2.0,0.0,84.0,5.0,32973.0,2.0,2.0,,57.171
