,qitem,page_id,page_title,num_editors,num_edits,num_pageviews,num_interwiki,num_bytes,date_created,lgbt_topic,page_title_1,page_title_2,page_title_3,page_title_4
73,Q52937,186321,Christine_(reine_de_Suède),182,482,1318.0,58,29257,20050129111331,41,Cristina de Suecia,Cristina de Suecia,Kristina Sveden,
74,Q56014,205483,George_Cukor,99,208,166.0,56,11624,20050226223209,41,George Cukor,George Cukor,George Cukor,George Cukor
75,Q184378,294818,Rock_Hudson,138,415,1359.0,59,28441,20050616214454,41,Rock Hudson,Rock Hudson,Rock Hudson,Rock Hudson
76,Q188385,732958,Gertrude_Stein,171,450,301.0,54,37048,20060409173329,41,Gertrude Stein,,,Gertrude Stein
77,Q186329,1328555,Mika_(chanteur),511,3054,3695.0,50,56153,20070120090830,41,Mika (cantante),,,
78,Q218679,12705,Colette,390,1373,2186.0,51,58336,20030325153647,40,Colette,,Colette (skrivagnerez),Colette
79,Q168359,30517,Jean_Marais,290,892,4263.0,59,63317,20031010084922,40,Jean Marais,Jean Marais,,Jean Marais
80,Q60100,56358,Roland_Emmerich,157,454,342.0,51,28286,20040303202341,40,Roland Emmerich,,,Roland Emmerich
81,Q183528,93244,Philip_Johnson,91,202,30.0,54,10780,20040704192034,40,Philip Johnson,,,Philip Johnson
82,Q162708,122891,Jean-Bedel_Bokassa,237,645,1214.0,63,37721,20040923065916,40,Jean-Bédel Bokassa,,Jean-Bedel Bokassa,Jean-Bédel Bokassa
83,Q201204,269135,Dana_International,102,250,42.0,49,9397,20050522115555,40,Dana International,Dana International,,Dana International
84,Q1631090,583020,Deadpool,223,1292,900.0,51,90139,20060115230127,40,Deadpool,Deadpool,Deadpool,Deadpool
85,Q163118,15802,Marguerite_Yourcenar,361,1295,1196.0,65,40144,20030513143126,39,Marguerite Yourcenar,,Marguerite Yourcenar,Marguerite Yourcenar
86,Q185044,108272,Ian_Thorpe,160,559,205.0,51,112208,20040817162301,39,Ian Thorpe,,,Ian Thorpe
87,Q192912,393571,Stephen_Fry,162,352,356.0,50,42738,20050912163957,39,Stephen Fry,,,Stephen Fry
88,Q102071,873520,Tove_Jansson,117,255,121.0,63,33015,20060624213051,39,Tove Jansson,,,Tove Jansson
89,Q58284,1049685,Guido_Westerwelle,83,172,165.0,53,23388,20060925185510,39,Guido Westerwelle,,,Guido Westerwelle
90,Q1728820,8693257,Leo_Varadkar,46,182,93.0,52,22781,20150119110022,39,Leo Varadkar,,Leo Varadkar,Leo Varadkar
91,Q180099,2145,Margaret_Mead,134,368,159.0,63,42524,20021024225952,38,Margaret Mead,Margaret Mead,,Margaret Mead
92,Q110154,174505,George_Takei,111,217,169.0,62,21246,20050106061717,38,George Takei,George Takei,George Takei,George Takei
93,Q188526,223834,Marina_Tsvetaïeva,152,453,220.0,65,30787,20050326184837,38,Marina Tsvetáyeva,Marina Tsvetáyeva,,Marina Tsvetaieva
94,Q44426,226690,Rainer_Werner_Fassbinder,141,349,339.0,53,26278,20050330190551,38,Rainer Werner Fassbinder,Rainer Werner Fassbinder,,Rainer Werner Fassbinder
95,Q187814,420173,Tracy_Chapman,135,367,1080.0,53,14755,20051004063915,38,Tracy Chapman,,Tracy Chapman,Tracy Chapman
96,Q265852,1426032,Tim_Cook,147,480,748.0,56,14831,20070324160917,38,Tim Cook,,,
97,Q15048,2750231,Elio_Di_Rupo,281,1134,363.0,56,49985,20050417161625,38,Elio Di Rupo,,Elio Di Rupo,
98,Q208117,4414727,Bella_Thorne,291,2002,5507.0,62,43057,20100123201826,38,Bella Thorne,Bella Thorne,Bella Thorne,Bella Thorne
99,Q561213,6283253,Xavier_Bettel,83,289,312.0,47,24862,20120507215743,38,Xavier Bettel,Xavier Bettel,,
