	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Javanese WD Label	WD Qitem
0	[[:id:|id]]	[{{fullurl:id:Batavia}} Batavia]	656	14	171		 [{{fullurl:wikidata:Q1199713}} Q1199713]
2	[[:id:|id]]	[{{fullurl:id:Pemerintah_Indonesia}} Pemerintah Indonesia]	835	2	145		 [{{fullurl:wikidata:Q20716634}} Q20716634]
3	[[:id:|id]]	[{{fullurl:id:Suku_Tolaki}} Suku Tolaki]	166	0	138		 [{{fullurl:wikidata:Q12517266}} Q12517266]
4	[[:id:|id]]	[{{fullurl:id:Pindang_Serani}} Pindang Serani]	41	0	127		 [{{fullurl:wikidata:Q12505590}} Q12505590]
5	[[:id:|id]]	[{{fullurl:id:Horok-Horok}} Horok-Horok]	42	0	124		 [{{fullurl:wikidata:Q19726349}} Q19726349]
6	[[:id:|id]]	[{{fullurl:id:Nasi_uduk}} Nasi uduk]	98	8	121		 [{{fullurl:wikidata:Q3236175}} Q3236175]
7	[[:id:|id]]	[{{fullurl:id:Urap}} Urap]	164	6	119		 [{{fullurl:wikidata:Q4206002}} Q4206002]
8	[[:id:|id]]	[{{fullurl:id:Papua_(wilayah_Indonesia)}} Papua (wilayah Indonesia)]	314	58	118		 [{{fullurl:wikidata:Q3845}} Q3845]
9	[[:id:|id]]	[{{fullurl:id:Tahu_petis}} Tahu petis]	82	0	118		 [{{fullurl:wikidata:Q12518573}} Q12518573]
10	[[:id:|id]]	[{{fullurl:id:Putu_mayang}} Putu mayang]	81	14	117		 [{{fullurl:wikidata:Q2456855}} Q2456855]
11	[[:id:|id]]	[{{fullurl:id:Tempoyak}} Tempoyak]	145	4	117		 [{{fullurl:wikidata:Q4748563}} Q4748563]
12	[[:id:|id]]	[{{fullurl:id:Kapurung}} Kapurung]	67	0	116		 [{{fullurl:wikidata:Q12489250}} Q12489250]
13	[[:id:|id]]	[{{fullurl:id:Garang_asem}} Garang asem]	115	0	116		 [{{fullurl:wikidata:Q12483520}} Q12483520]
14	[[:id:|id]]	[{{fullurl:id:Kacang_Jepara}} Kacang Jepara]	3	0	116		 [{{fullurl:wikidata:Q12488368}} Q12488368]
15	[[:id:|id]]	[{{fullurl:id:Soto_Madura}} Soto Madura]	51	2	116		 [{{fullurl:wikidata:Q7439701}} Q7439701]
16	[[:id:|id]]	[{{fullurl:id:Bandrek}} Bandrek]	134	2	116		 [{{fullurl:wikidata:Q4854701}} Q4854701]
17	[[:id:|id]]	[{{fullurl:id:Es_selendang_mayang}} Es selendang mayang]	46	0	115		 [{{fullurl:wikidata:Q19725639}} Q19725639]
